2019-01-16 10:59:58,159 [Worker-89] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 10:59:58,159 [Worker-89] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 10:59:58,159 [Worker-89] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 10:59:58,168 [Worker-89] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 11:00:08,750 [Worker-99] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 11:00:08,766 [Worker-99] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 11:00:08,766 [Worker-99] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 11:00:08,766 [Worker-99] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 11:01:50,684 [Worker-92] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 11:01:50,684 [Worker-92] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 11:01:50,684 [Worker-92] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 11:01:50,684 [Worker-92] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 11:07:34,196 [Worker-94] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.thaiane:desafio:0.0.1-SNAPSHOT @ C:\Users\thaiane.o.jesus\Desktop\projeto-uol\test-backEnd-Java\desafio\pom.xml.
2019-01-16 11:07:34,635 [Worker-94] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 11:07:34,643 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 11:07:34,645 [Worker-94] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 11:07:34,645 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 11:07:36,417 [Worker-98] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 11:07:36,417 [Worker-98] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 11:07:36,417 [Worker-98] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 11:07:36,425 [Worker-98] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 11:08:33,821 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 11:08:33,821 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
